,Jahr,Monat,Verbraucherpreisindex,Veränderung zum Vorjahresmonat,Veränderung zum Vormonat
0,,,2020=100,in (%),in (%)
1,1991,Januar,"60,5",.,.
2,1991,Februar,"60,8",.,"0,5"
3,1991,März,"60,8",.,-
4,1991,April,"61,0",.,"0,3"
5,1991,Mai,"61,1",.,"0,2"
6,1991,Juni,"61,5",.,"0,7"
7,1991,Juli,"62,2",.,"1,1"
8,1991,August,"62,2",.,-
9,1991,September,"62,2",.,-
10,1991,Oktober,"63,2",.,"1,6"
11,1991,November,"63,4",.,"0,3"
12,1991,Dezember,"63,5",.,"0,2"
13,1992,Januar,"63,9","5,6","0,6"
14,1992,Februar,"64,3","5,8","0,6"
15,1992,März,"64,5","6,1","0,3"
16,1992,April,"64,7","6,1","0,3"
17,1992,Mai,"64,9","6,2","0,3"
18,1992,Juni,"65,1","5,9","0,3"
19,1992,Juli,"65,3","5,0","0,3"
20,1992,August,"65,3","5,0",-
21,1992,September,"65,3","5,0",-
22,1992,Oktober,"65,3","3,3",-
23,1992,November,"65,6","3,5","0,5"
24,1992,Dezember,"65,7","3,5","0,2"
25,1993,Januar,"66,8","4,5","1,7"
26,1993,Februar,"67,3","4,7","0,7"
27,1993,März,"67,5","4,7","0,3"
28,1993,April,"67,7","4,6","0,3"
29,1993,Mai,"67,8","4,5","0,1"
30,1993,Juni,"68,0","4,5","0,3"
31,1993,Juli,"68,3","4,6","0,4"
32,1993,August,"68,3","4,6",-
33,1993,September,"68,2","4,4","-0,1"
34,1993,Oktober,"68,2","4,4",-
35,1993,November,"68,3","4,1","0,1"
36,1993,Dezember,"68,5","4,3","0,3"
37,1994,Januar,"68,8","3,0","0,4"
38,1994,Februar,"69,4","3,1","0,9"
39,1994,März,"69,5","3,0","0,1"
40,1994,April,"69,6","2,8","0,1"
41,1994,Mai,"69,7","2,8","0,1"
42,1994,Juni,"69,8","2,6","0,1"
43,1994,Juli,"69,9","2,3","0,1"
44,1994,August,"70,1","2,6","0,3"
45,1994,September,"69,9","2,5","-0,3"
46,1994,Oktober,"69,8","2,3","-0,1"
47,1994,November,"69,9","2,3","0,1"
48,1994,Dezember,"70,1","2,3","0,3"
49,1995,Januar,"70,4","2,3","0,4"
50,1995,Februar,"70,8","2,0","0,6"
51,1995,März,"70,8","1,9",-
52,1995,April,"70,9","1,9","0,1"
53,1995,Mai,"70,9","1,7",-
54,1995,Juni,"71,0","1,7","0,1"
55,1995,Juli,"71,2","1,9","0,3"
56,1995,August,"71,2","1,6",-
57,1995,September,"71,2","1,9",-
58,1995,Oktober,"71,0","1,7","-0,3"
59,1995,November,"71,0","1,6",-
60,1995,Dezember,"71,2","1,6","0,3"
61,1996,Januar,"71,4","1,4","0,3"
62,1996,Februar,"71,8","1,4","0,6"
63,1996,März,"71,8","1,4",-
64,1996,April,"71,8","1,3",-
65,1996,Mai,"71,9","1,4","0,1"
66,1996,Juni,"72,0","1,4","0,1"
67,1996,Juli,"72,1","1,3","0,1"
68,1996,August,"72,1","1,3",-
69,1996,September,"72,1","1,3",-
70,1996,Oktober,"72,1","1,5",-
71,1996,November,"72,0","1,4","-0,1"
72,1996,Dezember,"72,3","1,5","0,4"
73,1997,Januar,"72,9","2,1","0,8"
74,1997,Februar,"73,0","1,7","0,1"
75,1997,März,"73,0","1,7",-
76,1997,April,"72,9","1,5","-0,1"
77,1997,Mai,"73,1","1,7","0,3"
78,1997,Juni,"73,1","1,5",-
79,1997,Juli,"73,8","2,4","1,0"
80,1997,August,"73,8","2,4",-
81,1997,September,"73,7","2,2","-0,1"
82,1997,Oktober,"73,6","2,1","-0,1"
83,1997,November,"73,6","2,2",-
84,1997,Dezember,"73,8","2,1","0,3"
85,1998,Januar,"73,8","1,2",-
86,1998,Februar,"73,9","1,2","0,1"
87,1998,März,"73,8","1,1","-0,1"
88,1998,April,"73,9","1,4","0,1"
89,1998,Mai,"74,0","1,2","0,1"
